原文, 译文
Oxygen,
Oxygen Publishing Engine,
SharePoint, 
Wiris,
MathType,
dita,
DITA,
DITA-OT,
DITAVAL,
XML,
XML Schema,
MathML,
JSON,
JSON Schema,
XSD,
XProc,
YAML,
cookie,
XInclude,
JAR,
MIME,
Ant,
ID,
HTTP,
CSP,
HSTS,
URI,
URL,

