术语原文, 术语译文
plugin, 插件
add-on, 插件包
update site, 更新源
editor, 编辑器
Main Files, 主文件
Dynamic Help, 动态帮助
Tags without Element Names, 简易标签
DITA Maps Manager, DITA导图管理器
