原文, 译文
subscript, 下标
superscript, 上标
security certificates, 证书
vertical bar, 竖线符号
SPACE, 空格
User Manual, 用户手册
ending bracket, 右括号
Autosave, 自动保存
Save, 保存
Preferences, 首选项
deprecated, 已废弃
additional, 额外的
save as, 另存为
refresh, 刷新
read-only, 只读
folder, 文件夹
drop-down list, 下拉列表
contextual menu, 右键菜单
Metrics Report, 统计报告
write-only, 只写





